address,numTransactions,transactionsIncoming,transactionsOutgoing,firstDate,lastDate,netAmount,netRecieved,netSent
NC3BI3DNMR2PGEOOMP2NKXQGSAKMS7GYRKVA5CSZ,5,5,0,2018-01-30 13:26:35,2018-02-01 05:58:49,101.10333999999999,101.10333999999999,0
NC4C6PSUW5CLTDT5SXAGJDQJGZNESKFK5MCN77OG,141,104,22,2018-01-30 05:33:57,2018-02-01 19:11:09,-6864.554211999997,335.44578800000005,7200.0
NCTWFIOOVITRZYSYIGQ3PEI3IMVB25KMED53EWFQ,2,2,0,2018-01-30 10:16:39,2018-01-31 01:38:01,0.11,0.11,0
NA7SZ75KF6ZKK267TRKCJDJBWP5JKIC2HA5PXCKW,2,2,0,2018-01-30 10:18:23,2018-01-31 01:37:08,0.101,0.101,0
NDODXOWEIZGJSMAEURXACF4IEHC2CB7Q6T56V7SQ,1,1,0,2018-01-31 01:37:29,2018-01-31 01:37:29,0.1,0.1,0
NBKLQYXEIVEEGARYPUM62UJIFHA3Y6R4LAPU6NP4,1,1,0,2018-01-30 09:45:34,2018-01-30 09:45:34,0.001,0.001,0
NDZZJBH6JZPYSWRPRYHALLWMITWHOYTQGXR53HAW,4,4,0,2018-01-30 08:43:39,2018-01-31 01:30:58,2.201,2.201,0
NB4QJJCLTZWVFWRFBKEMFOONOZFDH3V5IDK3G524,4,4,0,2018-01-30 08:40:52,2018-01-31 23:22:20,0.11,0.11,0
NDDZVF32WB3LWRNG3IVGHCOCAZWENCNRGEZJVCJI,6,6,0,2018-01-30 08:47:35,2018-01-31 23:18:23,2.21001,2.21001,0
NA6JSWNF24Y7DVIUVPKRNAY7TPOFJJ7G2URL7KU5,7,7,0,2018-01-30 08:49:07,2018-02-01 06:52:47,3.2001000000000004,3.2001000000000004,0
NCF6IA5ZNKIUXE3COV7WK23EIOBEPDV5DJFZQTTH,0,0,0,3000-01-01 01:01:01,1900-01-01 01:01:01,0,0,0
NCM6WE7SJFDVTLSPTMZGBUZUETDYINITILS3DCIZ,14,3,11,2018-01-30 09:40:08,2018-02-01 06:45:11,-299997.75,2.488,300000.238
